Type,Description,Community,List Price,Sold Price,Taxes,Street Name,St#,Bedroom,BedPlus,Baths,Front,Parking Drive Spaces,Depth,Garage Type,Pool,Remarks For Brokers,Remarks For Clients,Extras,Basement1,Basement2
Detached,3-Storey,Duffin Heights,"$699,000","$750,000","$6,350",Dusty,1539,4,,4,78,4,160,Attached,None,"Please Attach Schedule B, Schedule C & Form 801 With All Offers. For Appts Call 416-431-9200. All Offers Must Be 48 Hours Irrevocable.","2 + Year Old** Molly Blue Model Built By Lebovic Homes. This Home Sits On One The Largest Premium Lots Over Looking The Forest** This Home Has 9 Ft Ceiling On The 2nd Floor, Boasts Hardwood Floors In Living, Dining And Family Rooms, Fantastic Kitchen Complete With Granite Counter Tops, Family Room Features A Gas Fireplace. There Are 3 Balconies, 4 Washrooms, 4 Bedrooms, Great Open Concept Layout, Mins To Pickering Town Centre, Hwy 401 & 407.","Gas Stove, Dishwasher, Fridge.",Finished,
Att/Row/Twn...,2-Storey,Duffin Heights,"$550,000","$545,000","$3,941",Earl Grey,2488,3,,3,17,1,89,Detached,None,"Excellent Home In A Perfect Condition. Neutral Colors. Vacant Possession. 48 Hrs, Irrevocable. Dimi@Homeresales.Net!","Great Opportunity! Won't Last! Freehold Townhome Built By ""Lebovic"" . ""Maple"" Model. Appriox. 1500 Sq. Ft.. Open Concept Main Floor W/T Living/Dining Room. Modern Kitchen W/T Stainless Steel Appliances And Granite Counter Top. 9 Ft. Ceilings And Hardwood On A Main Floor. Spacious Master Bedroom W/T 4Pc En Suite And Walk In Closet. Detached Garage Plus Parking.","Existing Stainless Steel Fridge, Stove, Washer Dryer, B/I Dishwasher, Window Coverings, Elf's.",Full,
Detached,2-Storey,Duffin Heights,"$749,947","$740,000","$5,667",Edgecroft,1570,4,,3,30,1,89,Built-In,None,"Please Attach Scd B. Counters & Cabinets Thru-Out! Every Room Offers Upgraded Options! Spectacular, *Closet Organizers, Attached Scd B. Offers","Dont Miss This True Pride Of Ownership! Fabulous Open Concept Layout! Potlights! Shutters! Granite Counters!Bcksplash,Ss Appls, Upgraded Kitchen Cabinets, Entertainment Liv/Din Rms., O/Looking Fam Rm W/Stunning Stone Wall And Fireplace All Under A 9 Ft Ceiling! Hardwood Flrs Oak Staircase. Master Bedroom Retreat W/Walk-In Closet And A 5Pc Spa Like Ensuite! All Fully Fenced Private Back Yard!Garage Access","Ss Fridge,Gas Stove,Dishwasher,Hoodfan, Elf's, Window Coverings & Blinds, Cvac R/I, Washer & Dryer, Ac.. Close To Shopping 401/407,Transit,Bsmt Bath R/I,Tarion Warranty! Upgraded Counters Thru-Out Quiet Area Surround By Nature!",Unfinished,
Detached,2-Storey,Duffin Heights,"$799,000","$858,000","$6,356",Elmsley,1509,4,1,5,37,2,89,Built-In,None,Please Attach Schedule B. Deposit To Be Certified Cheque Or Bank Draft Payable To:: Re/Max West Kabani Realty. - Offers If Any Will Be Reviewed Tuesday July 18. Sellers Reserve The Right To Review/Accept Pre-Emptive Offer.,"4-Bedrooms+Den | 4.5 Washrooms | Over 3500 Sq.Ft. Of Living Space (2497 Above Grade + 1068 Basement -Mpac) Located In A Quite Pickering Neighbourhood, Duffin Heights. Impressive Stone/Brick Exterior, Just 5-Years New, Built By Coughlan Homes. 9' Ceilings, Hardwood Flooring Throughout Main Floor + 2nd Floor Hallway & Den, Crown Moulding, Gas Fireplace, Wrought Iron Doors, Potlights Inside & Outside, Oak Stair Case, Prof Finished Open Concept Basement.","Interlocked Backyard Patio & Walkway. Comes With Existing Kitchen Appliances (Fridge, Stove, Dishwasher, Microwave), Washer, Dryer, Lighting Fixtures, Central Air Conditioning",Finished,
Detached,2-Storey,Duffin Heights,"$759,900","$745,000","$4,846",Hayden,1750,3,,4,36,2,0,Attached,None,"Easy To Show, Turnkey Property. Bring Your Most Discerning Clients. Please Allow 2 Hours Notice For Appts. Offers Welcome Anytime. Serious Sellers - No Games. Please Include Schedule B & 801. Deposit By Certified Cheque Or Bank Draft. Buyer To Verify Taxes & Measurements.","Shows Like A Model Home! Mattamy Built & Superbly Maintained. Open Concept With ++Upgrades That Separate This Home From The Rest Including 9' Ceilings, Curved Arches, California Shutters, Extended Kit Uppers, Quartz Countertops, Solid Oak Stairs, Gas Fireplace, Closet Organizers, Upgraded Frosted Glass Shaker Doors, Etc. Video Door Phone + Security System. Professionally Finished Basement & Landscaping. Park & Golf Course Nearby.","Very Clean House. See Virtual Tour. Has Not Been Staged For Show - Just Extremely Well Maintained. Includes All Appliances, Window Coverings & Family Room Wall-Mounted Speakers. ++Storage & Cat-5 Rough-In. Auto G/Do With Remotes.",Finished,
Detached,2-Storey,Duffin Heights,"$699,000","$760,000","$5,204",Kalmar,1704,4,1,5,30,1,90,Built-In,None,Please Attach Schedule B. Deposit To Be Certified Cheque Or Bank Draft Payable To: Re/Max West Kabani Realty. Offers If Any Will Be Reviewed Tuesday August 1 - Sellers Reserve The Right To Review/Accept Pre-Emptive Offers.,"Fully Upgraded / Nothing Left To Do! Approx 3128 Sq.Ft. Of Living Space (2136 Above Grade + 992 Basement). Mattamy Built, 5-Years New, 4-Bedrooms, 4.5 Washrooms, 9' Ceilings, Ss Appliances, Under Counter Lighting, Wood Flooring Throughout Entire Home (No Carpet At All), Oak Staircase. Unique Split 2nd Floor Layout, Private Master Retreat With Upgraded Ensuite +Walk-In Closet. Very Well Planned Professionally Finished Basement With Bedroom + Full Washroom.","Steps To Public Transit, Minutes To Go Train, Highways, Shopping + Huge Community Park In Community! Comes With Existing Kitchen Appliances, Washer, Dryer, Electrical Lighting Fixtures, Window Coverings.",Finished,
Detached,2-Storey,Duffin Heights,"$759,900","$735,000","$5,200",Kalmar,1710,4,2,4,30,1,90,Attached,None,"****Offer If Any Time Please Email Javedakhtar@Rogers.Com* Sch. B And Submit With Form 801*Incl. Certified Deposits, Easy To Show And Priced To Sell, Bring Your Best Offers! ~ Buyers Agent To Verify Room Sizes And Taxes ~","Shows Like A Model Home! Mattamy Built & Superbly Maintained. Open Concept With ++Upgrades That ,Live By The Famous Seaton Creek Golf Course. Beautiful Family Home, Detached Energy Star House. Finish Basement With Bedrooms And Full Bath And Kitchen Hardwood Floors Throughout Main Floor, Dark Executive Kitchen Cabinets S/S Applia W/I Closet,Entry From Garage, 4+2 S/S Appl In Basement Too. Bedrooms, Close To 401/407,Golf Course.Nces","Very Clean House. See Virtual Tour. Has Not Been Staged For Show - Just Extremely Well Maintained. Includes All Appliances, Window Coverings & Good For Large Family.",Finished,
Att/Row/Twn...,2-Storey,Duffin Heights,"$630,000","$610,000","$3,912",Liatris,1855,3,,3,29,2,82,Built-In,None,Please Attach Schedule 'B' And Form '801' To All Offers* Buyers To Verify All Measurements & Taxes *Offers Accepted Anytime. Pls Allow 24 Hrs Irrevocable*,"Tremendous *End-Unit Freehold Townhome In The Beautiful Community Of Duffin Heights. Enjoy Your Open Concept Layout As Natural Light Fills The Home. Upgrades Throughout-Hardwood Flrs, Freshly Painted, Wrought Iron Pickets + More! Be The Center Of Attention In Your Stunning Kitchen W/Quartz Countertops & Breakfast Bar. Keep Your Guests Entertained While Cooking-Kitchen O/Looks Great Rm, Dining Rm (B/I Breakfast Bar) & W/O To Yard!","Fridge, Stove, Dishwasher, Washer & Dryer. Elf's, Window Coverings. Cac. Upgraded Quartz Vanities In Upstairs Baths. Short Walk To Public Transit, Parks, Schools, Golf Course. Short Drive To Hwy 407 & Conservation.",Full,
Detached,2-Storey,Duffin Heights,"$899,999","$875,000","$6,018",Liatris,1788,4,,4,36,2,92,Built-In,None,Easy To Show Lock Box,"Premium Walk-Out Ravine Lot, Stunning 4 Bedroom Home,Over 3500Sqft Of Living Space, Double Garage, Finished Walk-Out Bsmt, Shows To Perfection, Open Concept, Main Fl 9"" Ceilings, Hardwood Floors, Pot Lights, Gas Fireplace, Office On Main Floor, Eat-In Kitchen, Granite Counter-Top, Glass Tile Back Splash, Stainless Steel Apps, Upper Floor Family Room With Vaulted Ceilings, Lots Of Natural Light, Master Ensuite W/ Glass Shower & Soaker Tub, Fantastic Layout!","All Elf's, All Window Coverings, S/S Fridge, Stove & Dishwasher, Front Load Washer & Dryer, Hot Water Tank (If Rental). Walk To Park & Golf Club, Great Schools, Minutes To Hwy 401 & 407 & All Amenities",Fin W/O,
Detached,2-Storey,Duffin Heights,"$699,900","$750,000","$5,117",Penny,2633,3,1,3,57,2,90,Attached,None,"Offers, If Any, Welcome Tuesday, August 8th 7:00 P.M. Pre-Emptive Offers Welcome. Include Schedule B & Form 801. See Floorplan & Virtual Tour Attached. Buyers And Agents To Verify Measurements And Information Provided. Shows A A A. Motivated & Serious Sellers. Try An Offer.","I M M A C U L A T E Premium Oversized Corner Lot Facing Greenspace, Park & Golf Course In High Demand Neighborhood. True Pride Of Ownership & Meticulously Cared For Lawn. Mattamy Built. Tons Of Updates Throughout. Open Concept, High Ceilings & Modern Layout. Sunshine House, Windows Everywhere. 57' Frontage! Direct Garage Entrance. Family Room Easily Convert To 4th Bedroom. Sep Laundry Room On Main. Large Walk-In Closet In Master. Huge Side-Backyard Space.","All Existing: S/S (Stove, Fridge, Rangehood, B/I Dishwasher), Washer, Dryer, Gb&E, Cac, Hwt(R), Window Coverings, Elf's, Auto Gdo W/ 2 Remotes, Planters Box In Yard. Famliy Room On 2nd. 57' Frontage. Newer Hardwood Floors. Quartz Tops.",Full,Unfinished
Att/Row/Twn...,3-Storey,Duffin Heights,"$699,900","$686,000","$4,214",William Jackson,2444,4,,4,20,1,64,Attached,None,Pls Attach Schedule B And Form 801 Wihh The Offer. Lockbox For Easy Showing. Vacant Property.,"4 Bedroom Freehold Townhouse Build By Mattamy Home , 2 Car Garage , 4 Washrooms, Main Level Incl Bdrm With 3 Pc Ensuite. Main Level Has Access To Enclosed Laundry Rm And Access To Garage. Large Balcony With Excellent View. Close To Public Transit And Steps To Park. Freshly Painted (2017) , New Quartz Counter Top In Kitchen And Washrooms (2017) , New Backsplash (2017) .","Fridge, Stove, Dishwasher, Washer, Dryer, All Elfs And Cac.",None,
Detached,3-Storey,Duffin Heights,"$699,900","$805,000","$5,446",Winville,1602,4,,4,39,2,0,Attached,None,"Offers, If Any Will Be Pres On Wed Jun 28th @ 7Pm As Per Seller's Req. Seller Reserves Right To Accept Pre Emptive Offers. Pls Reg By 5Pm. Pls Have Bank Draft Dept, Buyer/Buyer's Agent Has To Verify All The Measurements & Taxes.","Bright & Spacious 4 Bedroom Home, Over 2,900 Sq/Ft Of Living Space, This Home Features An Open Concept Layout & Is Loaded With Upgrades, Which Include Hardwood Flr Throughout, Oak Staircase, Kitchen Is Upgrade With Granite Counter Top, Upgraded Cabinets, S/S Appliances, Backsplash, Walk To Large Deck From Family Rm, Master Bedrm Features A 5-Pc Ensuite, Walk-In Closet, & Balcony, California Shutters Thru-Out, Upgraded Light Fixtures, Double Door Entry.","S/S Fridge, S/S Stove, S/S Dishwasher, Washer, Dryer, All Elf's, Cac, And Califoria Shutters. Close To Place Of Worship. Go Station, 401, 407, Pickering Town Centre, And Schools.",Fin W/O,
Detached,2-Storey,Duffin Heights,"$950,000","$920,000","$6,300",Winville,1583,4,,4,35,2,115,Built-In,None,"Offers Welcome, If Any Can Be Presented At The Property Or To Be Email To La @ Ammadalam@Yahoo.Com With 24 Hrs Irrevocability. Seller Reserves The Right To Entertain Any Pre Emptive Offers. Pls See Attach Schedule B & Form 801, Buyer & Agent To Verify Measurements & Taxes.","Absolutely Beautiful House Less Then 3 Years Old, 2750 Sq Ft, Modern Floor Plan. Walk-Out Basement, 9 Ft Ceilings, Hardwood Throughout Main Floor, Ravine Lot. Beautiful Large Raised Deck, Freshly Painted, 4 Spacious Bedrooms, Pot Lights Throughout The Main Floor, Granite Counter Tops, And Quick Access To 401/407 Interlocking Throughout The Front And Backyard","Cac, Cavc Upgrade Kitchen Cabinets W/ Pantry - S/S B/I Dishwasher, Fridge, Stove, Washer, Dryer, All Top Of The Line Light Fixtures, Fire Place In The Family Room - More Than $70K Spent On Upgrades, Curtains Are Not Included.",Full,W/O
Detached,3-Storey,Duffin Heights,"$749,000","$740,000","$5,400",Winville,1550,4,1,4,30,2,89,Attached,None,"Hot Water Tank (R), Buyer To Verify All Measurements & Taxes. Attach Sched B, Form 801 & Certify Deposit Chq. Marketing Fee Not Negotiable.","2 Yrs New Home In Newer Part Of Pickering, Very Spacious & Bright, High Rated Schools, Close To Parks, Shops, Transit, 401 & 407, Lots Of Upgrades, Stainless Steel Appliances, Oak Staircase, 9' Ceiling, Fully Upgraded Kitchen, Walk-Out Basement, Fully Fenced Backyard, & Much Much More. A Must See !!","All Existing Fridge, Stove, B/I Dishwasher, Washer, Dryer, All Elf's, Central Vacuum & Equipment, Central Air Conditioning, Gas Fireplace, Furnace, Broadloom Where Laid.",Finished,W/O
Detached,2-Storey,Dunbarton,"$699,800","$655,000","$4,513",Dunbarton,1103,3,,4,39,3,110,Built-In,None,Offers 24Hrs Irrevocable. Lbx For Easy Showing. Buyer To Verify Lot Size. Measurements As Per Builder's Plans - Buyer To Verify. Attach Schedule B And Form 801.,"Gorgeous Detached Home W/2-Car Garage Over 1800 Sq Ft In Highly Desirable Pickering Location! Featuring A Spacious Family Room Great For Entertaining, Brand New Garage Door, Hardwood Flrs, Oak Stairs, Updated & Extended Kitchen Cabinets, Granite Countertop, Stainless Steel Appliances And More! Quiet And Convenient Neighbourhood Just Minutes To Hwy401, Go Transit, Buses, Pickering Town Centre, Schools, Restaurants, Shops, Future Durham Live Entertainment.","Offers Anytime! See Virtual Tour & Floor Plan! S/S Fridge,S/S Stove,Dishwasher,Washer&Dryer,Water Softener,Roof('10), Windows('07),Deck,New Gate,New Toilets,New Washroom Sink,Rough-In Central Vac,New Faucets.",Part Fin,
Detached,2-Storey,Dunbarton,"$1,369,000","$1,235,000","$10,826",Fairport,1815,4,2,6,27,2,159,Built-In,None,Certain Furniture Pieces Are Available For Sale.Please Ask La For Details.Buyer To Verify All Measurements.*All Offers On Potl Form W/ Attached Sch.B & 801. Please Email To Mark.Masri@Century21.Ca & Thank You For Showing!!,"A Well Appointed Marshall Custom Home Deemed The Gem Of This Private Enclave In The Highly Sought After William Dunbar School District.Gleaming Hardwood Floors Thru-Out, Dream Kitchen W/Custom Cabinetry,Thermador & Sub Zero Paneled Appliances,Quartz Backsplash/Counters & X-Large Island. Potlights,Linear Fireplace,B/I Speakers,Upgraded Trim,Spacious Bedrooms,W/O Finished Basement With 10' Ceilings,2 Bedrooms,Family & Media Rms, 30'X10' Deck,$150K+ In Upgrades.","All Elfs,All Appliances,All Window Coverings,Rogers Security Cameras,Cvac/Dustpan,Chamberlain Myq Gdos,Ecobee Thermostat.Maintenance $234.06/Mo Incl: Water And Snow Removal. Durham Condo Corp Plan #266. Excl. Sound Baffles In Studio.",Fin W/O,Finished
Detached,2-Storey,Dunbarton,"$1,378,800","$1,350,000","$10,858",Fairport,1960,4,1,5,65,6,190,Attached,None,"Offers Welcome Anytime With 24 Hour Irrevocable. Floor Plans, 2017 Survey, Schedule B & Virtual Tour Attached. Seller Does Not Warrant Retrofit Status Of Basement Living Area. Certified Cheque/Bank Draft Appreciated With Offer. Thank You For Showing.","Move In And Enjoy 3592+1735 Sq Ft Of Custom Living Space On A Premium 65X190 Foot Lot. Heated 3 Car Garage With Rear Drive-Thru To Backyard. Open Concept Layout With Gourmet Kitchen And Walk-Out To Backyard/Hot Tub. Main Floor Office And Mud Room, Mbr Retreat With 2 Sided Fireplace And Walk-Out To Balcony. Sep Entrance To Professionally Fin'd Bsmt With Home Theatre & Gym, 5th Br And 4 Pc Bath.","Viking Ultraline Ss Fridge/Freezer,Gas Cooktop, Walloven/Microwave, Dishwasher, Washer/Dryer, Audio/Videophile Home Theatre,Gas Heater For Garage, Premium Home Security System,Tv's In Gym/Mbr. See Sch B For Full List Of Inclusions.",Finished,
Detached,2-Storey,Dunbarton,"$1,149,900","$1,035,000","$9,636",Spruce Hill,1901,4,1,3,75,3,296,Attached,Abv Grnd,"Act Fast! Own A Very Unique Home In The Heart Of Pickering On Exclusive Street! Professionally Lnscpd 1/2 Acre Lot! Open Cncpt! Gorgeous Decor! New Roof, Furnace, Roof Pool Heater & More!! $100K Spent On Recent Upgrds/Updates! Pls Att Sch B & Form 801 To Offer. 24 Hr Irrev Req'd*","Nothing Compares! Live On Prestigious Street! Elegant & Modern Design! 4+1 Bdrm! Appx. 3,000 + Sq.Ft Custom Built On 75 X 300 Ft. (1/2 Acre Lot) Lot! Demand Area! Mins To Schls, Parks, Trails, Shops, Transit, Hwys & More! Nothing Like This Unique One-Of-A-Kind Home With 16 Ft Ceilings, State Of The Art Kit, Master Retreat Like No Other W/Step Dwn/Sit Rm/Loft Ovrlkng Pool & Sauna Room! Must See Home- Entertainer's Delight! Partial Ingrnd Pool - Bkyrd Paradise!","S/S Fridge, Stove & B/I Dshwshr. Washer, Dryer, Auth. Swarovski Din Rm Chand, All Quality Light Fixt, Under The Counter Led Lights, Retrctble 120 Inch Home Theater Screen, Gas Frplce, Cent Air, Sauna, Whrlpl, & All Pool Equip. Lkbx Avail.",Finished,
Detached,2-Storey,Dunbarton,"$1,749,000","$1,675,000",$0,Spruce Hill,1746,4,1,5,50,6,138,Attached,None,"** Taxes Not Yet Assessed.**Sch B, Form 801 & Buyer's Mortgage Pre-Qual With Offers. Showing Conf & Offer Notification To Be Sent By Email-Pls Confirm Email With L/B.Email Offers To Realtor.Mak@Gmail.Com With 24 Hr Irr.","Luxurious 4000 Plus Sqft Custom Built Home Located On One Of Pickering's Most Prestigious Street, This Stunning 4 Bedroom 5 Washroom Home Displays The Finest Craftsmanship & Exceptional Detail. 4 Spacious Bedrms With Coffered Ceiling, Ensuites And W/I Closets.A Gourmet Kitchen, W/Custom Cabinetry, Servery, Granite And Quartz Counter Tops. Great Room W/Waffle Ceilings, Dinning Room With Custom Ceiling Design, Pot Lights Throughout The House, Marble Flr**","**In Master Spa Ensuite, Gas Fireplace With Custom Entertainment Unit, 10' Ceilings On Main, 9' Ceilings And 2nd & Bst, H/Wood Floors Throughout. Professionally Landscaped Front And Backyard. Way To Many Feature To List.All Elfs",Full,Walk-Up
Detached,2-Storey,Dunbarton,"$1,398,000","$1,398,000","$10,912",Spruce Hill,1880,4,2,5,50,4,167,Attached,Inground,Attach Sch.B & 801 To Offers. Email To Info@Michellefraser.Com - Offers 48 Hours Irrevocable And W/Bank Draft Only. Make Cheque Payable To Re/Max Hallmark Fraser Group In Trust. Survey Attached. 7Yr Old Home. *1 Hour Notice For Showings,"*Open House Sat/Sun 2-4*Stunning Home By Molida Homes (3703 Sqft) W/ High-End Designer Finishes In Area Of Custom Built Homes! Custom Chef's Kitchen W/ Granite Counters, Centre Island & Pantry. 9' Ceiling On Main Flr. Prof Landscaped Backyard Retreat & Gardens W/ Mature Trees, Inground Sprinklers, Salt Water Pool & Hot Tub. Master Bdrm W/ 6Pc Spa Ensuite. Closet Organizers. Newly Painted. Upgraded Baseboard & Trim. Dunbarton Hs, Gandatsetiagon Ps & St Mary Ss","S/S Stove, S/S D/W, S/S Fridge, Garburator,Washer/Dryer, Pot Lights, Pool Heater/Pump/Liner & Equip,Cac/Cvac & Equip, Elfs,Hunter Douglas & Phantom Blinds, Hwt (Rental)*Exclude: Stained Glass In Kit,Elfs In Ofc, Bsmt Freezer, Bose Speakers.",Finished,
Att/Row/Twn...,2-Storey,Highbush,"$599,000","$635,000","$4,957",Calvington,1910,3,,3,25,1,98,Built-In,None,Thank You For Showing. Lock Box For Easy Showings With 1 Hr Notice. Offers Accepted Anytime. Please Use Schedule B Attached & Form 801. Buyer To Verify All Measurements. Please Bring Certified Deposit With Offer. Collateral Agreement In Effect.,"Stunning Ravine Lot, 3 Bedroom 3 Washroom Brick/Stone End Home Located In Most Desirable Family Community. Open-Concept, Modern & Spacious. Home Shows Pride Of Ownership, Professionally Painted, Large Separate Family Room W/ Vaulted Ceilings, Lots Of Natural Light From Over-Sized Windows, Upgraded Light Fixtures, Gourmet Kitchen W/ Granite Counters & Stainless Appliances, Spacious Master Bedroom Retreat W/ Walk-In Closet & Large Spa-Like Ensuite Bathroom.","Walk To Transit, Top Schools, Parks & Altona Forest. Minutes To Hwy 401 & Shopping. Includes-Stainless Steel: Fridge, Stove, Dishwasher, Range Hood; White Washer & Dryer, All Light Fixtures, Window Covers.",Unfinished,
Semi-Detach...,3-Storey,Highbush,"$739,900","$710,000","$5,625",Chickadee,361,3,,3,15,1,92,Built-In,None,"All Offers By Email/Fax 1 Business Day Irrevocable As Per Sellers. Please Submit Schedule 'B' & Form 801 With All Offers. Hwt (Rental) $31.19/Mo, $232.41 Monthly Maint Fee For Water, Snow & Grass Maint. Excl Fan In Mbr & Bbq. *Elderly Man Will Be Home, But Please Use Lock Box.*","Gorgeous Semi In Desirable Altona / 2516 Sqft As Per Builder's Floor Plan / Backs Onto Altona Forest / Hardwood Floors / New Custom Shutters Thruout / Pot Lights / Large Gourmet Kit W/Granite Counter, Breakfast Bar & W/O To Deck / Upgraded Stainless Steel Appliances / Fabulous Open Concept / Stunning Ground Flr Family Rm W/Walkout To Private Pie Shaped Lot / Convenient 2nd Flr Laundry / Absolutely Beautiful Top To Bottom! Close To Schools, 401 & Shopping.","S/S Gas Stove, Fridge, B/I Dishwasher, Washer, Dryer, All Elf's, All Window Coverings, Cac, Central Vac, Roughed In Alarm System, Hwt (Rental) $31.19/Mo, $232.41 Monthly Maint Fee For Water, Snow & Grass Maint. Excl Fan In Mbr & Bbq.",W/O,
Detached,2-Storey,Highbush,"$799,000","$805,000","$5,707",Granby,323,4,1,4,22,4,165,Attached,None,"***This House Is In Immaculate Condition***Walk Out Bsmt Apt***Private Back Yard***Great Neighborhood*** Few Minutes To Schools,#401***Easy To Show***Cell Always On Call Any Time***","Look At The Virtual Tour***Immaculate Condition*** Located In Prestigious Twin River/Alton Forest**One Of The Biggest Lots On Cul-De-Sac. Hardwood/Ceramic Thru-Out, Solid Oak Staircase*** 9' Ceiling*** Granite Counters & Glass Back Splash*** Pot/Pendant Lights, 2nd Flr Laundry***Basement Apt W/O Sep. Entrance With Heated Floor*** Stamped Concrete*** 2-Tier Deck***Private Back Yard***New Roof***No House Behind***Wide Lot At The Back* Shows Extremely Well***","2 Fridges,Stove,Washer,Dryer,Dishwasher,Elfs,Window,Large Shed,R/I Gas Line For Stove In Bsmt,R/I Laundry In Bsmt",Apartment,Fin W/O
Detached,2-Storey,Highbush,"$849,000","$855,000","$6,792",Lancrest,299,4,3,4,42,4,0,Attached,None,"Offers Anytime, Sch B/Form 801 & Bank Draft. Easy Showings. Buyer/Buyer's Agent To Verify All Taxes & Measurements.","Located In Prestigious Altona Neighbourhood Of Pickering Clse To All Amenities, Schools,Shops,Transits,Hwy401. This Beautiful Corner Lot Property W/Mature Trees & Great Curb Appeal Is A Must See! Spacious 4Brm+3Brm & 4Bath. Home Featuring Open Concept Kitchen W/Quarts Countertops & Breakfast Area. French Doors Leading To The Spectacular Backyard W/Hot Tub & 150Sqft Patio. Large Main Flr Family Rm W/Fireplace. This Home Is Meticulously Maintained Inside & Out!","Formal Coffered Living/Dining Rm With Bright Windows. Fully Finished Bsmt W/3Brm & Bath. Large Theatre Room. W/Nest Heating System, Central Air,Garage Door Opener & Light Fixtures,Window Coverings, Stove, Fridge, Dishwasher, Washer/Dryer.",Finished,
Detached,2-Storey,Highbush,"$734,900","$740,000","$4,966",Meldron,1556,3,,4,56,4,0,Attached,None,Exclude Curtains In Living Rm & Master Bedroom. Offers Anytime. Incl Sched B And 801. Buyer To Verify Taxes & Measurements.,"Look No Further! This Home Has It All! Beautifully Updated Home In Demand Family Neighbourhood Close To 401 & 407. The Sunny Open-Concept Main Floor Fts Updated Powder Room, Hardwood Floors, Gas Fireplace And Recently Reno'ed Kitchen W/ Granite Counters, Backsplash & Walkout To Large Composite Deck & Mature Yard. Generous Master Fts His & Hers Closets And 4 Pc Ensuite. Fully Finished Basement W/ 2 Pc Bath, Potlights, Storage, And Separate Play & Media Spaces.","See Virtual Tour For Video! No Sidewalks & Oversized Driveway! Roof 2015, Most Windows 2012. Includes Appliances, All Light Fixtures. Nothing To Do But Unpack! Don't Miss This Great Opportunity To Move Into This Wonderfully Family Home!",Finished,
Semi-Detach...,2-Storey,Highbush,"$700,000","$745,000","$5,543",Nordane,1833,3,1,4,18,3,146,Attached,None,Email Offers To Shiv@Bansalteam.Com. Include Schedule B And Form 801. Lgl Desc Cont'd. Plan 40M1861 Pt Blk 11,"** Pie-Shaped Lot ** 19 Yrs Old ** Pkg For 3 Cars ** Private Cul De Sac In Sought After Highbush Neighbourhood ** Crown Mldg ** Pot Lights ** Open Concept Kit W/Granite Counter, W/I Pantry, Breakfast Bar. Prof Landscaped & Spacious Backyard W/Large Deck & Hot Tub. Sep Ent To Fin Bsmt. W/Rec Rm, Bd, & 4 Pc Bath. New Furnace & Hwt (O) ('16), Roof (3 Yrs). Surrounded By Altona Forest & Rouge Valley","Ss (Fridge, Gas Stove, D/W, B/I Micro) Washer, Dryer, Bsmt (Freezer, Couch & Speakers), Hot Tub, Shed, All Elf's, New Wdw Coverings, Alarm Sys., Central Air, Central Vac. Exclude (Master Bd Fireplace, Tv's & Mounts In Master & Liv)",Finished,Sep Entrance
Detached,2-Storey,Highbush,"$875,000","$850,000","$6,689",Oakburn,1499,4,2,4,41,2,130,Attached,Inground,"Email Offers To Shiv@Bansalteam.Com. Include Schedule B, Form 801, And Survey Attached.","4+2 Bedroom, 4 Bath Detached Home On A Corner Lot With Heated Inground Pool. Engineered Hdwd In Living/Dining Rm. Vaulted Ceilings In Kitchen. Professionally Landscaped W/Interlocking. Exceptional Layout W/Large Bedrooms. Finished Bsmt. No Separate Entrance. New Sinks & Faucet. Walk To Public And Catholic Elementary Schools. Roof (3 Yrs)","Ss (Fridge, Gas Stove, Dishwasher) Bsmt (Fridge, Stove (As Is), Hood Fan), All Window Coverings, Elf's, Pool & Equip (Liner & Pump 2016), Shed, Alarm Sys, Hwt (R).",Finished,
Detached,2-Storey,Highbush,"$1,399,999","$1,250,000","$8,500",Old Forest,1397,5,2,4,50,4,123,Attached,None,Buyers Agent To Verify All Taxes And Measurements. Easy To Show.,"Do Not Miss Out On This One Of A Kind Home!! Located In Pickering's Most Pristine Area On Old Forest Rd. No Expense Was Spared. This Is A Entertainers Dream Home With Open Concept 20 Ft Ceiling In Great Room, Granite Counter Tops, Custom Kitchen,Glass Railings, Stone Entrance Way, State Of The Art Security System ( The Whole House Can Be Ran From Your Smart Phone /Ipad. The Basement Is Finished W/9 Ft Ceilings & 10 Ft On Main & 2nd Floor. Shows Like A 10!","Hardwood Done On 45 Degree Angle, Ge Cafe Appliances, Frosted Garage Doors Show With Confidence.",Finished,
